u,x1,x2
0.0895726090963109,-0.0213608933440678 -0.010761516216057553 37.968058814991714,-0.02133378527969884 -0.007256570498076466 37.82927770419834
0.06480923187019216,-0.02133378527969884 -0.007256570498076466 37.82927770419834,-0.020908881505849276 0.0018692902906284406 37.142868326487005
0.07225571069275816,-0.020908881505849276 0.0018692902906284406 37.142868326487005,-0.020929188766841897 -0.001411322848905443 36.37775113566802
0.09268204301024921,-0.020929188766841897 -0.001411322848905443 36.37775113566802,-0.02090855374321313 -0.004625340427238462 36.28718132063157
0.07831613718156949,-0.02090855374321313 -0.004625340427238462 36.28718132063157,-0.020449763980647698 0.001420683155848871 35.87226000514612
0.07015530325319827,-0.020449763980647698 0.001420683155848871 35.87226000514612,-0.02003637296856382 0.004160469995721318 35.24639825978739
0.08589267898681807,-0.02003637296856382 0.004160469995721318 35.24639825978739,-0.020056106260430872 -0.002252667265289229 35.03683850489378
0.09155088625158447,-0.020056106260430872 -0.002252667265289229 35.03683850489378,-0.02002633285058866 -0.004856626418918852 34.93814111439298
0.07438349717755324,-0.02002633285058866 -0.004856626418918852 34.93814111439298,-0.01958445951280206 0.0014941735116322814 34.580478284403924
0.06769887837475505,-0.01958445951280206 0.0014941735116322814 34.580478284403924,-0.020095972919898127 -0.007436493555730653 34.00067839776304
0.08445717012769152,-0.020095972919898127 -0.007436493555730653 34.00067839776304,-0.02002246520014694 -0.006240827919834921 33.87154387759362
0.05303972702825785,-0.02002246520014694 -0.006240827919834921 33.87154387759362,-0.01961163745008576 0.0025592805438223263 33.19760630313149
0.05557813786190374,-0.01961163745008576 0.0025592805438223263 33.19760630313149,-0.01916842640859568 0.005496285499432471 32.28994618473735
0.07518674003648379,-0.01916842640859568 0.005496285499432471 32.28994618473735,-0.019166361446849956 -0.0010550172565273368 31.72422099455546
0.07928237146589331,-0.019166361446849956 -0.0010550172565273368 31.72422099455546,-0.019180950361800134 -0.004162124458515118 31.733579068308284
0.059052998441462945,-0.019180950361800134 -0.004162124458515118 31.733579068308284,-0.018721680057550375 0.002547710095925115 31.18741491625675
0.05160539007675469,-0.018721680057550375 0.002547710095925115 31.18741491625675,-0.017840421179898393 0.011308541364306954 30.408863142018646
0.067830297274251,-0.017840421179898393 0.011308541364306954 30.408863142018646,-0.01788404617476076 0.0012897993971971804 29.825838089218053
0.0914451823504897,-0.01788404617476076 0.0012897993971971804 29.825838089218053,-0.01784113255977636 -0.004382381046917365 29.99695988110164
0.06236286846073491,-0.01784113255977636 -0.004382381046917365 29.99695988110164,-0.01788044644786031 -0.003910305983151962 29.75034571640213
